Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,SPY,SPY,SPY,SPY,SPY,,,
2021-06-30,2021,6,30,Wednesday,26,2021-26,399.28,400.75,399.26,400.08,64827900,0.0,400.08,400.08
2021-07-01,2021,7,1,Thursday,26,2021-26,400.84,402.45,400.77,402.29,53441000,0.005536792599343476,401.185,401.185
2021-07-02,2021,7,2,Friday,26,2021-26,403.45,405.72,402.38,405.37,57697700,0.007643406611662851,402.58,402.58
2021-07-06,2021,7,6,Tuesday,27,2021-27,405.42,405.64,401.9,404.63,68710400,-0.0018214121703518105,403.0925,403.0925
2021-07-07,2021,7,7,Wednesday,27,2021-27,405.31,406.34,403.3,406.06,63549500,0.0035340773967325045,403.68600000000004,403.68600000000004
2021-07-08,2021,7,8,Thursday,27,2021-27,400.75,403.51,399.57,402.75,97595200,-0.008147972562868255,403.53,403.53
2021-07-09,2021,7,9,Friday,27,2021-27,404.26,407.35,402.55,407.05,76238600,0.010674643824301278,404.03285714285715,404.03285714285715
2021-07-12,2021,7,12,Monday,28,2021-28,406.97,408.76,406.54,408.51,52889600,0.00358188562706907,404.5925,404.5925
2021-07-13,2021,7,13,Tuesday,28,2021-28,407.72,409.22,406.85,407.12,52911300,-0.0034088594936710903,404.87333333333333,404.87333333333333
2021-07-14,2021,7,14,Wednesday,28,2021-28,408.81,409.29,406.48,407.72,64130400,0.001492162399381547,405.158,405.158
2021-07-15,2021,7,15,Thursday,28,2021-28,406.39,407.06,404.43,406.33,55126400,-0.0034154231981866623,405.26454545454544,405.26454545454544
2021-07-16,2021,7,16,Friday,28,2021-28,407.51,407.56,402.75,403.14,75874700,-0.007843693328384416,405.08750000000003,405.08750000000003
2021-07-19,2021,7,19,Monday,29,2021-29,398.33,403.21,394.39,397.19,147987000,-0.014767668341381435,404.47999999999996,404.47999999999996
2021-07-20,2021,7,20,Tuesday,29,2021-29,397.85,404.15,397.06,402.88,99608200,0.014330172447043488,404.36571428571426,404.36571428571426
2021-07-21,2021,7,21,Wednesday,29,2021-29,404.08,406.28,402.84,406.14,64724400,0.008096345642035985,404.79857142857145,404.48400000000004
2021-07-22,2021,7,22,Thursday,29,2021-29,406.32,407.24,405.34,406.99,47878500,0.002094147207954089,405.13428571428574,404.640625
2021-07-23,2021,7,23,Friday,29,2021-29,408.92,411.52,408.24,411.18,63766600,0.010287866506603294,405.54928571428576,405.0252941176471
2021-07-26,2021,7,26,Monday,30,2021-30,410.59,412.2,410.55,412.19,43719200,0.0024548759933598063,406.0892857142857,405.42333333333335
2021-07-27,2021,7,27,Tuesday,30,2021-30,411.15,411.18,407.49,410.31,67397100,-0.004557526359756037,406.39285714285717,405.6805263157895
2021-07-28,2021,7,28,Wednesday,30,2021-30,410.94,411.52,408.72,410.14,52472400,-0.00041018624463673437,406.92071428571427,405.9035
2021-07-29,2021,7,29,Thursday,30,2021-30,411.07,412.92,411.06,411.85,47435300,0.0041474457902273,407.2635714285715,406.18666666666667
2021-07-30,2021,7,30,Friday,30,2021-30,409.28,411.29,409.15,409.84,68951200,-0.0048562699842175094,407.35857142857145,406.3527272727273
2021-08-02,2021,8,2,Monday,31,2021-31,411.56,412.11,408.63,408.99,58783300,-0.002098244203189936,407.4921428571429,406.4673913043478
2021-08-03,2021,8,3,Tuesday,31,2021-31,409.78,412.43,407.59,412.31,58053900,0.00813565761932833,407.82000000000005,406.7108333333333
2021-08-04,2021,8,4,Wednesday,31,2021-31,411.03,412.28,410.05,410.28,46732200,-0.004919007609699322,408.1021428571429,406.85360000000003
2021-08-05,2021,8,5,Thursday,31,2021-31,411.44,412.97,411.13,412.88,38969700,0.006332845712643476,408.79785714285714,407.0853846153846
2021-08-06,2021,8,6,Friday,31,2021-31,413.2,413.99,412.92,413.56,46930000,0.0016524096198977656,409.96714285714285,407.3251851851852
2021-08-09,2021,8,9,Monday,32,2021-32,413.54,413.85,412.46,413.23,41222600,-0.0008135517277587656,410.7064285714286,407.53607142857146
2021-08-10,2021,8,10,Tuesday,32,2021-32,413.68,414.45,412.99,413.74,43339300,0.0012439567217679137,411.2492857142857,407.75
2021-08-11,2021,8,11,Wednesday,32,2021-32,414.81,414.86,413.69,414.77,44034300,0.0024848224319691248,411.805,407.98400000000004
2021-08-12,2021,8,12,Thursday,32,2021-32,414.62,416.15,413.72,416.01,38909400,0.0029967929238898794,412.15,408.24290322580646
2021-08-13,2021,8,13,Friday,32,2021-32,416.46,416.79,415.98,416.77,39470300,0.0018199189168133234,412.4771428571429,408.509375
