Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,UNH,UNH,UNH,UNH,UNH,,,
2025-08-15,2025,8,15,Friday,32,2025-32,293.84,302.21,287.02,296.08,68198500,0.11978358618776097,251.06285714285715,273.21794117647056
2025-08-18,2025,8,18,Monday,33,2025-33,305.01,308.15,299.4,300.44,39600500,0.014736294630654179,254.36142857142858,273.9957142857143
2025-08-19,2025,8,19,Tuesday,33,2025-33,300.84,302.4,291.41,296.3,22348600,-0.013776830420922037,257.0185714285714,274.61527777777775
2025-08-20,2025,8,20,Wednesday,33,2025-33,298.41,299.19,287.99,292.02,16679000,-0.014462212169091826,260.51642857142855,275.0856756756757
2025-08-21,2025,8,21,Thursday,33,2025-33,294.41,298.57,290.03,295.44,13359000,0.011706275078026351,265.0785714285714,275.6213157894737
2025-08-22,2025,8,22,Friday,33,2025-33,298.12,302.58,296.64,299.4,14930000,0.01341682969384772,269.7007142857143,276.23102564102567
2025-08-25,2025,8,25,Monday,34,2025-34,300.44,300.81,294.83,296.91,8917100,-0.00832746564292286,273.4478571428571,276.748
2025-08-26,2025,8,26,Tuesday,34,2025-34,296.37,300.9,286.53,292.59,16303200,-0.014531268035475886,277.24928571428575,277.13439024390243
2025-08-27,2025,8,27,Wednesday,34,2025-34,292.7,297.99,292.66,295.95,9982800,0.011483656217077032,281.36785714285713,277.58238095238096
2025-08-28,2025,8,28,Thursday,34,2025-34,296.31,296.53,291.59,294.41,11235000,-0.005232209523485465,284.94357142857143,277.97372093023256
2025-08-29,2025,8,29,Friday,34,2025-34,294.42,301.91,293.06,301.79,12065400,0.025075064211179443,288.94357142857143,278.515
2025-09-02,2025,9,2,Tuesday,35,2025-35,300.27,304.73,299.28,300.75,10957100,-0.003453037347146748,292.2292857142857,279.0091111111111
2025-09-03,2025,9,3,Wednesday,35,2025-35,300.07,301.51,295.78,299.85,9654600,-0.002979351846627898,294.73857142857145,279.4621739130435
2025-09-04,2025,9,4,Thursday,35,2025-35,298.12,303.77,296.17,302.28,7725700,0.008120122941739139,297.44357142857143,279.9476595744681
2025-09-05,2025,9,5,Friday,35,2025-35,302.34,309.65,300.16,307.16,14126700,0.016141640428899873,298.235,280.51458333333335
2025-09-08,2025,9,8,Monday,36,2025-36,311.37,313.26,305.62,311.9,18438600,0.0154093267275619,299.05357142857144,281.15510204081636
2025-09-09,2025,9,9,Tuesday,36,2025-36,323.83,342.54,318.63,338.85,46408900,0.08640134008660261,302.09285714285716,282.309
2025-09-10,2025,9,10,Wednesday,36,2025-36,336.55,339.48,332.5,337.73,17804300,-0.0032766902960270627,305.35785714285714,282.987
2025-09-11,2025,9,11,Thursday,36,2025-36,339.9,351.56,336.82,344.39,18943500,0.019695497246517757,308.8542857142857,283.5222
2025-09-12,2025,9,12,Friday,36,2025-36,346.62,352.86,343.27,343.32,14016200,-0.003110715655121332,311.99142857142857,284.39779999999996
2025-09-15,2025,9,15,Monday,37,2025-37,344.26,344.7,335.7,340.95,11035900,-0.006879791824873749,315.13714285714286,285.2068
2025-09-16,2025,9,16,Tuesday,37,2025-37,340.57,342.08,331.57,333.01,12695800,-0.023312078205837028,318.0242857142857,285.9512
2025-09-17,2025,9,17,Wednesday,37,2025-37,330.96,336.16,330.96,334.8,8467700,0.005385857217323542,320.79928571428576,286.6538
2025-09-18,2025,9,18,Thursday,37,2025-37,336.68,338.05,327.46,328.14,11255600,-0.01987633950195622,323.2085714285714,287.31640000000004
2025-09-19,2025,9,19,Friday,37,2025-37,329.79,334.16,327.18,329.98,13656800,0.0055849618116505795,325.2221428571429,288.082
2025-09-22,2025,9,22,Monday,38,2025-38,327.79,335.65,325.97,334.49,8903700,0.013692167657262999,327.63214285714287,288.8484
2025-09-23,2025,9,23,Tuesday,38,2025-38,334.2,345.67,333.18,340.76,12504100,0.018722571960783307,330.55428571428575,289.8088
2025-09-24,2025,9,24,Wednesday,38,2025-38,343.22,347.43,340.9,344.8,9016300,0.011849606929644985,333.59142857142854,291.02279999999996
2025-09-25,2025,9,25,Thursday,38,2025-38,341.94,343.21,336.75,338.67,8104900,-0.01776540300216356,335.84214285714285,292.099
2025-09-26,2025,9,26,Friday,38,2025-38,340.99,342.99,334.49,337.22,6774700,-0.004282843377636847,337.6507142857143,293.23220000000003
2025-09-29,2025,9,29,Monday,39,2025-39,337.12,338.66,334.64,338.3,6878900,0.003197012128048904,337.6114285714286,294.49260000000004
2025-09-30,2025,9,30,Tuesday,39,2025-39,336.9,342.35,335.5,338.42,7429700,0.00034748620970481703,337.6607142857143,295.7654
2025-10-01,2025,10,1,Wednesday,39,2025-39,337.04,341.75,334.82,341.36,8825500,0.008688195632789553,337.44428571428574,297.03880000000004
2025-10-02,2025,10,2,Thursday,39,2025-39,340.37,348.0,337.78,346.67,8564200,0.015561356105732616,337.6835714285714,298.2746
2025-10-03,2025,10,3,Friday,39,2025-39,350.13,360.66,349.5,353.02,13494800,0.01831949759458773,338.5457142857143,299.9088
2025-10-06,2025,10,6,Monday,40,2025-40,353.83,355.29,349.99,351.62,7181700,-0.003970108819450813,339.875,301.46659999999997
